item,insamplesI,pop,pop2,popMORE,popK,x_coord,y_coord,village,municipality,race_1st,common_name,in_or_ex,regenerations,farmer,seedlot,pch,cobs
1,L32-1,MORE32ex,EXMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,1,same,0,20
2,L32-10,MORE32ex,EXMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,1,same,0,20
3,L32-2,MORE32ex,EXMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,1,same,0,20
4,L32-3,MORE32ex,EXMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,1,same,0,20
5,L32-4,MORE32ex,EXMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,1,same,0,20
6,L32-5,MORE32ex,EXMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,1,same,0,20
7,L32-6,MORE32ex,EXMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,1,same,0,20
8,L32-7,MORE32ex,EXMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,1,same,0,20
9,L32-8,MORE32ex,EXMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,1,same,0,20
10,L32-9,MORE32ex,EXMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,1,same,0,20
11,L33-1,MORE33ex,EXMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,2,same,1,22
12,L33-10,MORE33ex,EXMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,2,same,1,22
13,L33-2,MORE33ex,EXMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,2,same,1,22
14,L33-3,MORE33ex,EXMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,2,same,1,22
15,L33-4,MORE33ex,EXMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,2,same,1,22
16,L33-5,MORE33ex,EXMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,2,same,1,22
17,L33-6,MORE33ex,EXMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,2,same,1,22
18,L33-7,MORE33ex,EXMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,2,same,1,22
19,L33-8,MORE33ex,EXMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,2,same,1,22
20,L33-9,MORE33ex,EXMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,exsitu,1,2,same,1,22
21,L34-1,MORE34ex,EXMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,exsitu,1,2,same,2,28
22,L34-10,MORE34ex,EXMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,exsitu,1,2,same,2,28
23,L34-2,MORE34ex,EXMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,exsitu,1,2,same,2,28
24,L34-3,MORE34ex,EXMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,exsitu,1,2,same,2,28
25,L34-4,MORE34ex,EXMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,exsitu,1,2,same,2,28
26,L34-5,MORE34ex,EXMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,exsitu,1,2,same,2,28
27,L34-6,MORE34ex,EXMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,exsitu,1,2,same,2,28
28,L34-7,MORE34ex,EXMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,exsitu,1,2,same,2,28
29,L34-8,MORE34ex,EXMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,exsitu,1,2,same,2,28
30,L34-9,MORE34ex,EXMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,exsitu,1,2,same,2,28
31,L35-1,MORE35ex,EXMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,exsitu,1,3,same,3,24
32,L35-10,MORE35ex,EXMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,exsitu,1,3,same,3,24
33,L35-2,MORE35ex,EXMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,exsitu,1,3,same,3,24
34,L35-3,MORE35ex,EXMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,exsitu,1,3,same,3,24
35,L35-4,MORE35ex,EXMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,exsitu,1,3,same,3,24
36,L35-5,MORE35ex,EXMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,exsitu,1,3,same,3,24
37,L35-6,MORE35ex,EXMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,exsitu,1,3,same,3,24
38,L35-7,MORE35ex,EXMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,exsitu,1,3,same,3,24
39,L35-8,MORE35ex,EXMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,exsitu,1,3,same,3,24
40,L35-9,MORE35ex,EXMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,exsitu,1,3,same,3,24
41,L39-1,MORE39ex,EXMORE39,MORE39,K17,-98.72088889,18.83102778,Hueyapan,Tetela_del_Volcan,pepitilla,criollo,exsitu,1,4,same,4,6
42,L39-10,MORE39ex,EXMORE39,MORE39,K17,-98.72088889,18.83102778,Hueyapan,Tetela_del_Volcan,pepitilla,criollo,exsitu,1,4,same,4,6
43,L39-2,MORE39ex,EXMORE39,MORE39,K17,-98.72088889,18.83102778,Hueyapan,Tetela_del_Volcan,pepitilla,criollo,exsitu,1,4,same,4,6
44,L39-3,MORE39ex,EXMORE39,MORE39,K17,-98.72088889,18.83102778,Hueyapan,Tetela_del_Volcan,pepitilla,criollo,exsitu,1,4,same,4,6
45,L39-4,MORE39ex,EXMORE39,MORE39,K17,-98.72088889,18.83102778,Hueyapan,Tetela_del_Volcan,pepitilla,criollo,exsitu,1,4,same,4,6
46,L39-5,MORE39ex,EXMORE39,MORE39,K17,-98.72088889,18.83102778,Hueyapan,Tetela_del_Volcan,pepitilla,criollo,exsitu,1,4,same,4,6
47,L39-6,MORE39ex,EXMORE39,MORE39,K17,-98.72088889,18.83102778,Hueyapan,Tetela_del_Volcan,pepitilla,criollo,exsitu,1,4,same,4,6
48,L39-7,MORE39ex,EXMORE39,MORE39,K17,-98.72088889,18.83102778,Hueyapan,Tetela_del_Volcan,pepitilla,criollo,exsitu,1,4,same,4,6
49,L39-8,MORE39ex,EXMORE39,MORE39,K17,-98.72088889,18.83102778,Hueyapan,Tetela_del_Volcan,pepitilla,criollo,exsitu,1,4,same,4,6
50,L39-9,MORE39ex,EXMORE39,MORE39,K17,-98.72088889,18.83102778,Hueyapan,Tetela_del_Volcan,pepitilla,criollo,exsitu,1,4,same,4,6
51,L44-1,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
52,L44-10,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
53,L44-2,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
54,L44-3,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
55,L44-4,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
56,L44-5,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
57,L44-6,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
